15.2996 0.00304327 -0.0645892  2.04455 -0.124065  -0.00296769 -0.0646327  0.936637 -0.115412  
15.3624 0.00301906 -0.0643311  2.04453 -0.123579  -0.00294467 -0.0643739  0.936812 -0.114991  
15.4252 0.00299512 -0.0640751  2.04451 -0.123098  -0.00292192 -0.0641172  0.936985 -0.114574  
15.4881 0.00297147 -0.063821  2.04449 -0.12262  -0.00289942 -0.0638625  0.937156 -0.11416  
15.5509 0.0029481 -0.063569  2.04447 -0.122145  -0.00287718 -0.0636097  0.937325 -0.113749  
15.6137 0.002925 -0.0633189  2.04445 -0.121674  -0.00285518 -0.063359  0.937492 -0.11334  
15.6765 0.00290216 -0.0630707  2.04443 -0.121207  -0.00283344 -0.0631102  0.937656 -0.112935  
15.7394 0.00287959 -0.0628245  2.04441 -0.120743  -0.00281193 -0.0628633  0.937819 -0.112532  
15.8022 0.00285728 -0.0625801  2.0444 -0.120283  -0.00279067 -0.0626184  0.93798 -0.112132  
15.865 0.00283523 -0.0623377  2.04438 -0.119826  -0.00276964 -0.0623753  0.938139 -0.111735  
15.9279 0.00281343 -0.062097  2.04436 -0.119373  -0.00274885 -0.0621341  0.938296 -0.111341  
15.9907 0.00279188 -0.0618582  2.04434 -0.118923  -0.00272828 -0.0618947  0.938451 -0.110949  
16.0535 0.00277057 -0.0616213  2.04432 -0.118476  -0.00270794 -0.0616572  0.938604 -0.11056  
16.1164 0.0027495 -0.0613861  2.04431 -0.118033  -0.00268783 -0.0614214  0.938756 -0.110174  
16.1792 0.00272867 -0.0611527  2.04429 -0.117593  -0.00266793 -0.0611874  0.938906 -0.109791  
16.242 0.00270808 -0.060921  2.04427 -0.117156  -0.00264825 -0.0609552  0.939054 -0.10941  
16.3049 0.00268772 -0.0606911  2.04425 -0.116722  -0.00262878 -0.0607248  0.9392 -0.109031  
16.3677 0.00266758 -0.0604628  2.04424 -0.116291  -0.00260953 -0.060496  0.939345 -0.108656  
