10.3987 0.015647 -0.0860418  2.93758 -0.677339  -3.9625e-05 -0.0887418  3.00435 -0.695712  -0.0160855 -0.0857009  3.13076 -0.698367  
10.4615 0.0154851 -0.0856231  2.93835 -0.674366  -3.90309e-05 -0.0882811  3.00434 -0.69255  -0.0159151 -0.0852898  3.12924 -0.695208  
10.5243 0.0153256 -0.0852081  2.93911 -0.671417  -3.84501e-05 -0.087825  3.00432 -0.689415  -0.0157472 -0.0848822  3.12775 -0.692075  
10.5872 0.0151685 -0.0847966  2.93985 -0.668493  -3.78821e-05 -0.0873732  3.00431 -0.686307  -0.015582 -0.084478  3.12629 -0.688968  
10.65 0.0150137 -0.0843887  2.94059 -0.665591  -3.73266e-05 -0.0869258  3.0043 -0.683225  -0.0154193 -0.0840772  3.12485 -0.685888  
10.7128 0.0148612 -0.0839843  2.94131 -0.662714  -3.67833e-05 -0.0864828  3.00428 -0.68017  -0.015259 -0.0836796  3.12344 -0.682833  
10.7757 0.014711 -0.0835834  2.94201 -0.659859  -3.62518e-05 -0.0860439  3.00427 -0.67714  -0.0151012 -0.0832854  3.12205 -0.679803  
10.8385 0.0145629 -0.0831859  2.94271 -0.657028  -3.57317e-05 -0.0856093  3.00425 -0.674136  -0.0149457 -0.0828944  3.12069 -0.676798  
10.9013 0.014417 -0.0827918  2.94339 -0.654219  -3.52228e-05 -0.0851788  3.00424 -0.671157  -0.0147926 -0.0825066  3.11935 -0.673819  
10.9642 0.0142732 -0.0824011  2.94406 -0.651432  -3.47247e-05 -0.0847524  3.00423 -0.668203  -0.0146418 -0.0821221  3.11803 -0.670863  
11.027 0.0141315 -0.0820137  2.94472 -0.648667  -3.42372e-05 -0.08433  3.00422 -0.665274  -0.0144932 -0.0817407  3.11674 -0.667932  
11.0898 0.0139918 -0.0816296  2.94537 -0.645925  -3.37598e-05 -0.0839115  3.0042 -0.662369  -0.0143468 -0.0813624  3.11546 -0.665025  
11.1527 0.0138541 -0.0812488  2.94601 -0.643204  -3.32924e-05 -0.083497  3.00419 -0.659488  -0.0142026 -0.0809872  3.11421 -0.662141  
11.2155 0.0137184 -0.0808711  2.94664 -0.640504  -3.28347e-05 -0.0830863  3.00418 -0.65663  -0.0140604 -0.0806151  3.11298 -0.659281  
11.2783 0.0135846 -0.0804967  2.94725 -0.637826  -3.23864e-05 -0.0826795  3.00417 -0.653796  -0.0139204 -0.080246  3.11177 -0.656444  
